"","w1","w2","w3"
"1",0,0.5,0.5
"2",0.166666666666667,0.416666666666667,0.416666666666667
"3",0.333333333333333,0.333333333333333,0.333333333333333
"4",0.5,0.25,0.25
"5",0.666666666666667,0.166666666666667,0.166666666666667
"6",0.833333333333333,0.0833333333333334,0.0833333333333334
"7",1,0,0
"8",0.5,0,0.5
"9",0.416666666666667,0.166666666666667,0.416666666666667
"10",0.333333333333333,0.333333333333333,0.333333333333333
"11",0.25,0.5,0.25
"12",0.166666666666667,0.666666666666667,0.166666666666667
"13",0.0833333333333334,0.833333333333333,0.0833333333333334
"14",0,1,0
"15",0.5,0.5,0
"16",0.416666666666667,0.416666666666667,0.166666666666667
"17",0.333333333333333,0.333333333333333,0.333333333333333
"18",0.25,0.25,0.5
"19",0.166666666666667,0.166666666666667,0.666666666666667
"20",0.0833333333333334,0.0833333333333334,0.833333333333333
"21",0,0,1
