X1,X2,X3
1.9649440000000002,1.2239999999999998,2.427931555555562
1.964944,1.2240000000000002,2.2969352888888945
1.964944,1.224,2.296935288888895
1.9649439999999996,1.2240000000000002,2.2969352888888963
1.8666968,1.17504,2.610045644444451
1.8666967999999997,1.17504,2.485599191111117
1.8666968,1.1750399999999999,2.4855991911111177
1.8666967999999997,1.17504,2.485599191111119
1.7684496000000003,1.1260799999999997,2.7921597333333397
1.7684495999999998,1.12608,2.674263093333339
1.7684496000000003,1.1260799999999997,2.6742630933333396
1.7684495999999998,1.12608,2.674263093333341
1.6702024000000002,1.0771199999999999,2.974273822222229
1.6702023999999998,1.07712,2.8629269955555627
1.6702024000000004,1.07712,2.8629269955555623
1.6702024000000002,1.0771199999999999,2.8629269955555623
1.964944,1.2239999999999998,2.427931555555563
1.964944,1.2239999999999998,2.2969352888888968
1.964944,1.2239999999999998,2.296935288888895
1.964944,1.2239999999999998,2.296935288888896
1.8666967999999997,1.17504,2.6100456444444524
1.8666967999999997,1.17504,2.485599191111119
1.8666967999999997,1.17504,2.4855991911111177
1.8666967999999997,1.17504,2.485599191111118
1.7684496,1.12608,2.7921597333333406
1.7684496,1.12608,2.6742630933333404
1.7684496,1.12608,2.67426309333334
1.7684496,1.12608,2.67426309333334
1.6702024,1.0771199999999996,2.97427382222223
1.6702024,1.0771199999999996,2.862926995555563
1.6702024,1.0771199999999996,2.8629269955555614
1.6702024,1.0771199999999996,2.862926995555562
1.964944,1.2239999999999998,2.4279315555555634
1.964944,1.2239999999999998,2.2969352888888968
1.964944,1.2239999999999998,2.2969352888888945
1.964944,1.2239999999999998,2.2969352888888963
1.8666967999999997,1.17504,2.6100456444444524
1.8666967999999997,1.17504,2.485599191111119
1.8666967999999997,1.17504,2.4855991911111177
1.8666967999999997,1.17504,2.485599191111118
1.7684496,1.12608,2.7921597333333406
1.7684496,1.12608,2.6742630933333404
1.7684496,1.12608,2.6742630933333396
1.7684496,1.12608,2.67426309333334
1.6702024,1.0771199999999996,2.97427382222223
1.6702024,1.0771199999999996,2.862926995555563
1.6702024,1.0771199999999996,2.8629269955555623
1.6702024,1.0771199999999996,2.8629269955555623
1.9649440000000002,1.2239999999999998,2.4279315555555616
1.9649439999999998,1.2240000000000002,2.2969352888888968
1.9649439999999996,1.224,2.2969352888888963
1.9649439999999998,1.224,2.2969352888888968
1.8666968,1.17504,2.610045644444451
1.8666967999999993,1.17504,2.4855991911111186
1.8666967999999997,1.1750399999999999,2.4855991911111186
1.8666968,1.1750399999999999,2.485599191111119
1.7684496,1.1260799999999997,2.792159733333341
1.7684496,1.12608,2.674263093333341
1.7684495999999998,1.12608,2.674263093333341
1.7684496000000003,1.12608,2.67426309333334
1.6702024,1.0771199999999999,2.97427382222223
1.6702024,1.0771199999999999,2.862926995555563
1.6702024,1.0771199999999999,2.862926995555563
1.6702024,1.07712,2.8629269955555627
